index,mid,display_name,depth
102,/m/02bm9n,"Ratchet, pawl",2
103,/m/02bxd,Didgeridoo,2
104,/m/02c8p,"Telephone dialing, DTMF",3
105,/m/02cjck,Theme music,2
106,/m/02cz_7,Beatboxing,3
107,/m/02dgv,Door,2
108,/m/02fs_r,"Beep, bleep",3
109,/m/02fsn,Double bass,3
110,/m/02fxyj,Humming,2
111,/m/02g901,"Electric shaver, electric razor",2
112,/m/02hnl,Drum kit,3
113,/m/02jz0l,"Water tap, faucet",2
114,/m/02k_mr,Drum roll,5
115,/m/02l6bg,"Propeller, airscrew",4
116,/m/02lkt,Electronic music,2
117,/m/02mfyn,Car alarm,2
118,/m/02mk9,Engine,1
119,/m/02mscn,Christian music,2
120,/m/02p01q,Filing (rasp),2
121,/m/02p0sh1,Traditional music,2
122,/m/02p3nc,Hiccup,2
123,/m/02pjr4,Blender,2
124,/m/02qldy,"Narration, monologue",3
125,/m/02qmj0d,String section,3
126,/m/02rhddq,Reversing beeps,4
127,/m/02rlv9,"Motorboat, speedboat",3
128,/m/02rr_,Effects unit,3
129,/m/02rtxlg,Whispering,2
130,/m/02sgy,Electric guitar,4
131,/m/02v2lh,New-age music,2
132,/m/02w4v,Folk music,2
133,/m/02x8m,Funk,2
134,/m/02x984l,Mechanical fan,2
135,/m/02y_763,Sliding door,3
136,/m/02yds9,Purr,3
137,/m/02z32qm,Fusillade,3
138,/m/02zsn,"Female speech, woman speaking",3
139,/m/030rvx,Buzzer,2
140,/m/0316dw,Typing,2
141,/m/0319l,French horn,3
142,/m/0326g,Flamenco,3
143,/m/032n05,Whale vocalization,2
144,/m/032s66,"Gunshot, gunfire",2
145,/m/0342h,Guitar,3
146,/m/034srq,"Waves, surf",3
147,/m/0395lw,Bell,1
148,/m/039jq,Glass,1
149,/m/03_d0,Jazz,2
150,/m/03cczk,"Chewing, mastication",2
151,/m/03cl9h,"Ice cream truck, ice cream van",4
152,/m/03dnzn,Bathtub (filling or washing),2
153,/m/03fwl,Goat,2
154,/m/03gvt,Hammond organ,4
155,/m/03j1ly,Emergency vehicle,3
156,/m/03k3r,Horse,2
157,/m/03kmc9,Siren,2
158,/m/03l9g,Hammer,2
159,/m/03lty,Heavy metal,3
160,/m/03m5k,Harp,2
161,/m/03m9d0z,Wind,1
162,/m/03mb9,House music,3
163,/m/03p19w,Jackhammer,2
164,/m/03q5_w,"Burping, eructation",2
165,/m/03q5t,Harpsichord,3
166,/m/03qc9zr,Screaming,2
167,/m/03qjg,Harmonica,2
168,/m/03qtq,Hi-hat,4
169,/m/03qtwd,Crowd,2
170,/m/03r5q_,Jingle (music),2
171,/m/03t3fj,Rimshot,5
172,/m/03v3yw,Keys jangling,2
173,/m/03vt0,Insect,2
174,/m/03w41f,Church bell,2
175,/m/03wvsk,Hair dryer,2
176,/m/03wwcy,Doorbell,2
177,/m/03xq_f,Electronic organ,4
178,/m/04229,Jet engine,2
179,/m/042v_gx,Acoustic guitar,4
180,/m/0463cq4,"Crying, sobbing",2
181,/m/046dlr,Alarm clock,2
182,/m/04_sv,Motorcycle,3
183,/m/04brg2,"Dishes, pots, and pans",2
184,/m/04cvmfc,Roar,3
185,/m/04fgwm,Electric toothbrush,3
186,/m/04fq5q,Foghorn,2
187,/m/04gxbd,"Power windows, electric windows",4
188,/m/04gy_2,Battle cry,3
189,/m/04k94,Liquid,1
190,/m/04qvtq,Police car (siren),3
191,/m/04rlf,Music,0
192,/m/04rmv,Mouse,3
193,/m/04rzd,Mandolin,3
194,/m/04s8yn,Crow,3
195,/m/04szw,Musical instrument,1
196,/m/04wptg,Wedding music,2
197,/m/04zjc,Machine gun,3
198,/m/04zmvq,Train whistle,4
199,/m/05148p4,Keyboard (musical),2
200,/m/053hz1,Cheering,2
201,/m/056ks2,"Rowboat, canoe, kayak",3
202,/m/05_wcq,"Bird flight, flapping wings",3
203,/m/05fw6t,Music for children,2
204,/m/05kq4,Ocean,2
205,/m/05lls,Opera,3
206,/m/05pd6,Orchestra,2
207,/m/05r5c,Piano,3
208,/m/05r5wn,Rattle (instrument),3
209,/m/05r6t,Punk rock,3
210,/m/05rj2,Shuffling cards,2
211,/m/05rwpb,Independent music,2
212,/m/05tny_,Bark,3
213,/m/05w3f,Psychedelic rock,3
214,/m/05x_td,"Air horn, truck horn",2
215,/m/05zc1,Pulleys,2
216,/m/05zppz,"Male speech, man speaking",3
217,/m/0642b4,Cupboard open or close,2
218,/m/064t9,Pop music,2
219,/m/068hy,"Domestic animals, pets",1
220,/m/068zj,Pig,2
221,/m/06_fw,Skateboard,3
222,/m/06_y0by,Environmental noise,3
223,/m/06bxc,Rapping,3
224,/m/06by7,Rock music,2
225,/m/06bz3,Radio,2
226,/m/06cqb,Reggae,2
227,/m/06d_3,Rail transport,2
228,/m/06h7j,Run,2
229,/m/06hck5,Steam whistle,3
230,/m/06hps,"Rodents, rats, mice",2
231,/m/06j64v,Middle Eastern music,2
232,/m/06j6l,Rhythm and blues,2
233,/m/06mb1,Rain,2
234,/m/06ncr,Saxophone,3
235,/m/06q74,Ship,3
236,/m/06rqw,Ska,2
237,/m/06rvn,Snare drum,4
238,/m/06w87,"Steel guitar, slide guitar",4
239,/m/06wzb,Steam,2
240,/m/06xkwv,Mains hum,3
241,/m/073cg4,Cap gun,3
242,/m/074ft,Song,2
243,/m/078jl,Snake,2
244,/m/0790c,Sonar,2
245,/m/07bgp,Sheep,2
246,/m/07bjf,Single-lens reflex camera,3
247,/m/07brj,Tambourine,3
248,/m/07c52,Television,2
249,/m/07c6l,Trombone,3
250,/m/07cx4,Telephone,2
251,/m/07gql,Trumpet,3
252,/m/07gxw,Techno,3
253,/m/07hvw1,Field recording,3
254,/m/07jdr,Train,3
255,/m/07k1x,Tools,1
256,/m/07kc_,Theremin,2
257,/m/07lnk,Trance music,3
258,/m/07m2kt,Chorus effect,4
259,/m/07mzm6,Wheeze,3
260,/m/07n_g,Tuning fork,2
261,/m/07p6fty,Shout,2
262,/m/07p6mqd,Slosh,3
263,/m/07p78v5,Zing,2
264,/m/07p7b8y,Fill (with liquid),2
265,/m/07p9k1k,Sizzle,2
266,/m/07p_0gm,Throbbing,2
267,/m/07pb8fc,Idling,2
268,/m/07pbtc8,"Walk, footsteps",2
269,/m/07pc8lb,Breaking,2
270,/m/07pczhz,Chop,2
271,/m/07pdhp0,Biting,2
272,/m/07pdjhy,Rub,2
273,/m/07pggtn,"Chirp, tweet",3
274,/m/07phhsh,Rumble,2
275,/m/07phxs1,Ding,3
276,/m/07pjjrj,"Smash, crash",2
277,/m/07pjwq1,Buzz,3
278,/m/07pkxdp,Lullaby,2
279,/m/07pl1bw,Splinter,2
280,/m/07plct2,Crushing,2
281,/m/07plz5l,Sigh,2
282,/m/07pn_8q,Chopping (food),2
283,/m/07pp8cl,Telephone bell ringing,3
284,/m/07pp_mv,Alarm,1
285,/m/07ppn3j,Sniff,2
286,/m/07pqc89,"Trickle, dribble",3
287,/m/07pqn27,Bouncing,2
288,/m/07prgkl,Pour,2
289,/m/07pt_g0,Pulse,2
290,/m/07ptfmf,Stir,2
291,/m/07ptzwd,Pump (liquid),2
292,/m/07pws3f,Bang,2
293,/m/07pxg6y,Eruption,2
294,/m/07pyf11,Flap,2
295,/m/07pyy8b,Pant,3
296,/m/07pzfmf,Crackle,2
297,/m/07q0h5t,Bleat,3
298,/m/07q0yl5,Snort,3
299,/m/07q2z82,"Accelerating, revving, vroom",2
300,/m/07q4ntr,Bellow,3
301,/m/07q5rw0,"Neigh, whinny",3
302,/m/07q6cd_,Squeak,3
303,/m/07q7njn,"Chink, clink",2
304,/m/07qb_dv,Scratch,2
305,/m/07qc9xj,Clicking,2
306,/m/07qcpgn,Tap,2
307,/m/07qcx4z,Tearing,2
308,/m/07qdb04,Quack,4
309,/m/07qf0zm,Howl,3
310,/m/07qfgpx,"Jingle, tinkle",2
311,/m/07qfr4h,"Hubbub, speech noise, speech babble",2
312,/m/07qh7jl,Creak,2
313,/m/07qjznl,Tick-tock,3
314,/m/07qjznt,Tick,3
315,/m/07qlf79,Spray,2
316,/m/07qlwh6,Squish,2
317,/m/07qmpdm,Clatter,2
318,/m/07qn4z3,Rattle,2
319,/m/07qn5dc,"Crowing, cock-a-doodle-doo",4
320,/m/07qnq_y,"Thump, thud",2
321,/m/07qqyl4,Boom,2
322,/m/07qrkrw,Meow,3
323,/m/07qs1cx,Crack,2
324,/m/07qsvvw,"Burst, pop",2
325,/m/07qv4k0,Scrape,2
326,/m/07qv_d5,Toot,3
327,/m/07qv_x_,Shuffle,2
328,/m/07qw_06,"Wail, moan",2
329,/m/07qwdck,Ping,3
330,/m/07qwf61,Honk,4
331,/m/07qwyj0,Rustle,2
332,/m/07qyrcz,Plop,2
333,/m/07qz6j3,Whimper,3
334,/m/07r04,Truck,3
335,/m/07r10fb,Raindrop,3
336,/m/07r4gkf,Patter,3
337,/m/07r4k75,Grunt,2
338,/m/07r4wb8,Knock,2
339,/m/07r5c2p,Caw,4
340,/m/07r5v4s,Drip,2
341,/m/07r660_,Giggle,3
342,/m/07r67yg,Ding-dong,3
343,/m/07r81j2,Caterwaul,3
344,/m/07r_25d,Coo,4
345,/m/07r_80w,Hoot,4
346,/m/07r_k2n,Yip,3
347,/m/07rbp7_,Whip,2
348,/m/07rc7d9,Bow-wow,3
349,/m/07rcgpl,Hum,2
350,/m/07rdhzs,"Whack, thwack",2
351,/m/07rgkc5,Static,3
352,/m/07rgt08,"Chuckle, chortle",3
353,/m/07rjwbb,Hiss,2
354,/m/07rjzl8,Slam,3
355,/m/07rkbfh,Chatter,2
356,/m/07rknqz,Skidding,4
357,/m/07rn7sz,Shatter,2
358,/m/07rpkh9,Moo,3
359,/m/07rqsjt,"Whoosh, swoosh, swish",2
360,/m/07rrh0c,Thunk,3
361,/m/07rrlb6,"Splash, splatter",2
362,/m/07rv4dm,Clang,3
363,/m/07rv9rh,Clip-clop,3
364,/m/07rwj3x,Whoop,3
365,/m/07rwm0c,Clickety-clack,3
366,/m/07ryjzk,"Slap, smack",2
367,/m/07s02z0,Squeal,3
368,/m/07s04w4,Snicker,3
369,/m/07s0dtb,Gasp,3
370,/m/07s0s5r,Strum,4
371,/m/07s12q4,Crunch,2
372,/m/07s2xch,Groan,2
373,/m/07s34ls,Whir,2
374,/m/07s72n,Dubstep,3
375,/m/07s8j8t,Roll,2
376,/m/07sbbz2,Rock and roll,3
377,/m/07sq110,Belly laugh,3
378,/m/07sr1lc,Yell,3
379,/m/07st88b,Croak,3
380,/m/07st89h,Cluck,4
381,/m/07svc2k,Gobble,4
382,/m/07swgks,Gurgling,2
383,/m/07sx8x_,Squawk,4
384,/m/07szfh9,Cacophony,2
385,/m/07xzm,Ukulele,3
386,/m/07y_7,"Violin, fiddle",3
387,/m/07yv9,Vehicle,1
388,/m/081rb,Writing,2
389,/m/0838f,Water,1
390,/m/083vt,Wood,1
391,/m/085jw,"Wind instrument, woodwind instrument",2
392,/m/08cyft,Electronic dance music,3
393,/m/08j51y,"Dental drill, dentist's drill",3
394,/m/08p9q4,Sidetone,3
395,/m/0912c9,"Vehicle horn, car horn, honking",2
396,/m/0939n_,Gargling,2
397,/m/096m7z,Noise,1
398,/m/09b5t,"Chicken, rooster",3
399,/m/09ct_,Helicopter,3
400,/m/09d5_,Owl,3
401,/m/09ddx,Duck,3
402,/m/09f96,Mosquito,3
403,/m/09ld4,Frog,2
404,/m/09t49,Rustling leaves,2
405,/m/09x0r,Speech,2
406,/m/09xqv,Cricket,3
407,/m/0_1c,Artillery fire,3
408,/m/0_ksk,Power tool,2
409,/m/0b9m1,Harmonic,3
410,/m/0b_fwt,Electronic tuner,3
411,/m/0bm02,Bass drum,4
412,/m/0brhx,Speech synthesizer,3
413,/m/0bt9lr,Dog,2
414,/m/0btp2,"Traffic noise, roadway noise",3
415,/m/0c1dj,Sound effect,2
416,/m/0c2wf,Typewriter,3
417,/m/0c3f7m,Fire alarm,2
418,/m/0cdnk,"Roaring cats (lions, tigers)",2
419,/m/0cfdd,Drum machine,4
420,/m/0ch8v,"Livestock, farm animals, working animals",1
421,/m/0chx_,White noise,2
422,/m/0cj0r,Pink noise,2
423,/m/0cmf2,"Fixed-wing aircraft, airplane",3
424,/m/0d31p,Vacuum cleaner,2
425,/m/0d8_n,Pizzicato,4
426,/m/0dbvp,Goose,3
427,/m/0dgbq,Civil defense siren,3
428,/m/0dl5d,Progressive rock,3
429,/m/0dl83,Arrow,2
430,/m/0dl9sf8,Throat clearing,3
431,/m/0dls3,Grunge,3
432,/m/0dq0md,Music of Bollywood,3
433,/m/0dv3j,Boiling,2
434,/m/0dv5r,Camera,2
435,/m/0dwsp,"Marimba, xylophone",4
436,/m/0dwt5,Vibraphone,4
437,/m/0dwtp,Glockenspiel,4
438,/m/0dxrf,Frying (food),2
439,/m/0f8s22,Chime,2
440,/m/0fd3y,Ambient music,3
441,/m/0fqfqc,Drawer open or close,2
442,/m/0fx80y,Plucked string instrument,2
443,/m/0fx9l,Microwave oven,2
444,/m/0g12c5,Distortion,3
445,/m/0g293,Music of Latin America,2
446,/m/0g6b5,Fireworks,2
447,/m/0gg8l,Bluegrass,3
448,/m/0ggq0m,Classical music,2
449,/m/0ggx5q,Dance music,2
450,/m/0ghcn6,Growling,3
451,/m/0glt670,Hip hop music,2
452,/m/0gvgw0,Air brake,4
453,/m/0gy1t2s,Bicycle bell,2
454,/m/0gywn,Soul music,2
455,/m/0h0rv,"Pigeon, dove",3
456,/m/0h2mp,"Fly, housefly",3
457,/m/0h9mv,Tire squeal,4
458,/m/0hdsk,Chirp tone,3
459,/m/0hsrw,"Sailboat, sailing ship",3
460,/m/0j2kx,Waterfall,2
461,/m/0j45pbj,Mallet percussion,3
462,/m/0j6m2,Stream,2
463,/m/0jb2l,Thunderstorm,1
464,/m/0jbk,Animal,0
465,/m/0jtg0,Sitar,3
466,/m/0k4j,Car,3
467,/m/0k5j,Aircraft,2
468,/m/0k65p,Hands,1
469,/m/0l14_3,Bowed string instrument,2
470,/m/0l14gg,Soundtrack music,2
471,/m/0l14j_,Flute,3
472,/m/0l14jd,Choir,2
473,/m/0l14l2,Shofar,2
474,/m/0l14md,Percussion,2
475,/m/0l14qv,Synthesizer,3
476,/m/0l14t7,Singing bowl,2
477,/m/0l156b,Steelpan,4
478,/m/0l156k,Whistle,2
479,/m/0l15bq,Clapping,2
480,/m/0l7xg,Gears,2
481,/m/0llzx,Sewing machine,2
482,/m/0ln16,Salsa music,3
483,/m/0ltv,"Race car, auto racing",4
484,/m/0lyf6,Breathing,2
485,/m/0m0jc,Electronica,3
486,/m/0mbct,Gong,3
487,/m/0mkg,Accordion,2
488,/m/0ngt1,Thunder,2
489,/m/0xzly,Maraca,4
490,/m/0y4f8,Vocal music,2
491,/m/0ytgt,"Child speech, kid speaking",3
492,/m/0z9c,A capella,3
493,/t/dd00001,Baby laughter,3
494,/t/dd00002,"Baby cry, infant cry",3
495,/t/dd00003,Male singing,3
496,/t/dd00004,Female singing,3
497,/t/dd00005,Child singing,3
498,/t/dd00006,Synthetic singing,3
499,/t/dd00013,Children playing,2
500,/t/dd00018,Oink,3
501,/t/dd00031,Happy music,2
502,/t/dd00032,Funny music,2
503,/t/dd00033,Sad music,2
504,/t/dd00034,Tender music,2
505,/t/dd00035,Exciting music,2
506,/t/dd00036,Angry music,2
507,/t/dd00037,Scary music,2
508,/t/dd00038,Rain on surface,3
509,/t/dd00048,Train wheels squealing,3
510,/t/dd00065,Light engine (high frequency),2
511,/t/dd00066,Medium engine (mid frequency),2
512,/t/dd00067,Heavy engine (low frequency),2
513,/t/dd00077,Mechanisms,1
514,/t/dd00088,Gush,3
515,/t/dd00092,Wind noise (microphone),2
516,/t/dd00112,"Crumpling, crinkling",2
517,/t/dd00121,Boing,2
518,/t/dd00125,"Inside, small room",2
519,/t/dd00126,"Inside, large room or hall",2
520,/t/dd00127,"Inside, public space",2
521,/t/dd00128,"Outside, urban or manmade",2
522,/t/dd00129,"Outside, rural or natural",2
523,/t/dd00130,Engine starting,2
524,/t/dd00134,Car passing by,4
525,/t/dd00135,Children shouting,2
526,/t/dd00136,Whimper (dog),3
527,/m/0160x5,Digestive,1
528,/m/025l19,Recording,2
529,/m/059j3w,Natural sounds,0
530,/m/05n1m,Onomatopoeia,1
531,/m/07bm98,Sound reproduction,1
532,/m/093_4n,Background noise,2
533,/m/09hlz4,Respiratory sounds,1
534,/m/09l8g,Human voice,1
535,/m/0bpl036,Human locomotion,1
536,/m/0dgw9r,Human sounds,0
537,/m/0kpv1t,Music genre,1
538,/t/dd00012,Human group actions,1
539,/t/dd000138,Brief tone,2
540,/t/dd00027,Musical concepts,1
541,/t/dd00028,Music role,1
542,/t/dd00030,Music mood,1
543,/t/dd00041,Sounds of things,0
544,/t/dd00061,Non-motorized land vehicle,2
545,/t/dd00071,"Domestic sounds, home sounds",1
546,/t/dd00089,Miscellaneous sources,1
547,/t/dd00091,Sound equipment,2
548,/t/dd00093,Acoustic environment,1
549,/t/dd00098,Source-ambiguous sounds,0
550,/t/dd00099,Generic impact sounds,1
551,/t/dd00109,Surface contact,1
552,/t/dd00110,Deformable shell,1
553,/t/dd00122,Other sourceless,1
554,/t/dd00123,"Channel, environment and background",0
555,/t/dd00133,Specific impact sounds,1
